,Date,ANFCI
0,1971-01-08,0.513
1,1971-01-15,0.575
2,1971-01-22,0.656
3,1971-01-29,0.745
4,1971-02-05,0.835
5,1971-02-12,0.913
6,1971-02-19,0.972
7,1971-02-26,1.009
8,1971-03-05,1.026
9,1971-03-12,1.031
10,1971-03-19,1.035
11,1971-03-26,1.056
12,1971-04-02,1.109
13,1971-04-09,1.205
14,1971-04-16,1.347
15,1971-04-23,1.521
16,1971-04-30,1.706
17,1971-05-07,1.87
18,1971-05-14,1.978
19,1971-05-21,2.002
20,1971-05-28,1.928
21,1971-06-04,1.758
22,1971-06-11,1.501
23,1971-06-18,1.195
24,1971-06-25,0.883
25,1971-07-02,0.613
26,1971-07-09,0.441
27,1971-07-16,0.409
28,1971-07-23,0.54
29,1971-07-30,0.83
30,1971-08-06,1.243
31,1971-08-13,1.718
32,1971-08-20,2.185
33,1971-08-27,2.571
34,1971-09-03,2.83
35,1971-09-10,2.934
36,1971-09-17,2.888
37,1971-09-24,2.712
38,1971-10-01,2.445
39,1971-10-08,2.133
40,1971-10-15,1.824
41,1971-10-22,1.562
42,1971-10-29,1.378
43,1971-11-05,1.289
44,1971-11-12,1.292
45,1971-11-19,1.372
46,1971-11-26,1.501
47,1971-12-03,1.646
48,1971-12-10,1.777
49,1971-12-17,1.865
50,1971-12-24,1.89
51,1971-12-31,1.849
52,1972-01-07,1.733
53,1972-01-14,1.568
54,1972-01-21,1.37
55,1972-01-28,1.165
56,1972-02-04,0.975
57,1972-02-11,0.815
58,1972-02-18,0.691
59,1972-02-25,0.605
60,1972-03-03,0.554
61,1972-03-10,0.532
62,1972-03-17,0.532
63,1972-03-24,0.54
64,1972-03-31,0.543
65,1972-04-07,0.528
66,1972-04-14,0.489
67,1972-04-21,0.419
68,1972-04-28,0.329
69,1972-05-05,0.227
70,1972-05-12,0.13
71,1972-05-19,0.055
72,1972-05-26,0.017
73,1972-06-02,0.023
74,1972-06-09,0.077
75,1972-06-16,0.173
76,1972-06-23,0.299
77,1972-06-30,0.436
78,1972-07-07,0.564
79,1972-07-14,0.663
80,1972-07-21,0.717
81,1972-07-28,0.714
82,1972-08-04,0.65
83,1972-08-11,0.531
84,1972-08-18,0.368
85,1972-08-25,0.182
86,1972-09-01,-0.006
87,1972-09-08,-0.17
88,1972-09-15,-0.295
89,1972-09-22,-0.374
90,1972-09-29,-0.407
91,1972-10-06,-0.405
92,1972-10-13,-0.381
93,1972-10-20,-0.35
94,1972-10-27,-0.322
95,1972-11-03,-0.309
96,1972-11-10,-0.315
97,1972-11-17,-0.346
98,1972-11-24,-0.4
99,1972-12-01,-0.472
100,1972-12-08,-0.55
101,1972-12-15,-0.622
102,1972-12-22,-0.669
103,1972-12-29,-0.674
104,1973-01-05,-0.626
105,1973-01-12,-0.517
106,1973-01-19,-0.346
107,1973-01-26,-0.12
108,1973-02-02,0.146
109,1973-02-09,0.429
110,1973-02-16,0.702
111,1973-02-23,0.94
112,1973-03-02,1.121
113,1973-03-09,1.233
114,1973-03-16,1.277
115,1973-03-23,1.265
116,1973-03-30,1.215
117,1973-04-06,1.143
118,1973-04-13,1.07
119,1973-04-20,1.003
120,1973-04-27,0.946
121,1973-05-04,0.897
122,1973-05-11,0.851
123,1973-05-18,0.802
124,1973-05-25,0.752
125,1973-06-01,0.704
126,1973-06-08,0.669
127,1973-06-15,0.657
128,1973-06-22,0.677
129,1973-06-29,0.735
130,1973-07-06,0.831
131,1973-07-13,0.964
132,1973-07-20,1.126
133,1973-07-27,1.31
134,1973-08-03,1.506
135,1973-08-10,1.701
136,1973-08-17,1.881
137,1973-08-24,2.035
138,1973-08-31,2.15
139,1973-09-07,2.217
140,1973-09-14,2.235
141,1973-09-21,2.204
142,1973-09-28,2.125
143,1973-10-05,1.997
144,1973-10-12,1.835
145,1973-10-19,1.651
146,1973-10-26,1.479
147,1973-11-02,1.348
148,1973-11-09,1.291
149,1973-11-16,1.322
150,1973-11-23,1.425
151,1973-11-30,1.565
152,1973-12-07,1.689
153,1973-12-14,1.752
154,1973-12-21,1.724
155,1973-12-28,1.599
156,1974-01-04,1.391
157,1974-01-11,1.131
158,1974-01-18,0.844
159,1974-01-25,0.554
160,1974-02-01,0.278
161,1974-02-08,0.033
162,1974-02-15,-0.165
163,1974-02-22,-0.298
164,1974-03-01,-0.355
165,1974-03-08,-0.334
166,1974-03-15,-0.241
167,1974-03-22,-0.093
168,1974-03-29,0.094
169,1974-04-05,0.312
170,1974-04-12,0.561
171,1974-04-19,0.843
172,1974-04-26,1.161
173,1974-05-03,1.511
174,1974-05-10,1.889
175,1974-05-17,2.29
176,1974-05-24,2.707
177,1974-05-31,3.142
178,1974-06-07,3.592
179,1974-06-14,4.041
180,1974-06-21,4.463
181,1974-06-28,4.819
182,1974-07-05,5.072
183,1974-07-12,5.198
184,1974-07-19,5.196
185,1974-07-26,5.087
186,1974-08-02,4.907
187,1974-08-09,4.692
188,1974-08-16,4.484
189,1974-08-23,4.307
190,1974-08-30,4.178
191,1974-09-06,4.091
192,1974-09-13,4.031
193,1974-09-20,3.969
194,1974-09-27,3.865
195,1974-10-04,3.696
196,1974-10-11,3.452
197,1974-10-18,3.157
198,1974-10-25,2.85
199,1974-11-01,2.575
200,1974-11-08,2.371
201,1974-11-15,2.254
202,1974-11-22,2.218
203,1974-11-29,2.241
204,1974-12-06,2.294
205,1974-12-13,2.344
206,1974-12-20,2.366
207,1974-12-27,2.336
208,1975-01-03,2.241
209,1975-01-10,2.079
210,1975-01-17,1.86
211,1975-01-24,1.605
212,1975-01-31,1.342
213,1975-02-07,1.095
214,1975-02-14,0.885
215,1975-02-21,0.714
216,1975-02-28,0.58
217,1975-03-07,0.475
218,1975-03-14,0.391
219,1975-03-21,0.322
220,1975-03-28,0.26
221,1975-04-04,0.202
222,1975-04-11,0.14
223,1975-04-18,0.068
224,1975-04-25,-0.021
