,Date,ANFCI,d_ANFCI
0,1971-01-08,0.513,
1,1971-01-15,0.575,0.061999999999999944
2,1971-01-22,0.656,0.08100000000000007
3,1971-01-29,0.745,0.08899999999999997
4,1971-02-05,0.835,0.08999999999999997
5,1971-02-12,0.913,0.07800000000000007
6,1971-02-19,0.972,0.05899999999999994
7,1971-02-26,1.009,0.03699999999999992
8,1971-03-05,1.026,0.017000000000000126
9,1971-03-12,1.031,0.004999999999999893
10,1971-03-19,1.035,0.0040000000000000036
11,1971-03-26,1.056,0.02100000000000013
12,1971-04-02,1.109,0.052999999999999936
13,1971-04-09,1.205,0.09600000000000009
14,1971-04-16,1.347,0.1419999999999999
15,1971-04-23,1.521,0.17399999999999993
16,1971-04-30,1.706,0.18500000000000005
17,1971-05-07,1.87,0.16400000000000015
18,1971-05-14,1.978,0.10799999999999987
19,1971-05-21,2.002,0.0239999999999998
20,1971-05-28,1.928,-0.07399999999999984
21,1971-06-04,1.758,-0.16999999999999993
22,1971-06-11,1.501,-0.2570000000000001
23,1971-06-18,1.195,-0.3059999999999998
24,1971-06-25,0.883,-0.31200000000000006
25,1971-07-02,0.613,-0.27
26,1971-07-09,0.441,-0.172
27,1971-07-16,0.409,-0.03200000000000003
28,1971-07-23,0.54,0.13100000000000006
29,1971-07-30,0.83,0.2899999999999999
30,1971-08-06,1.243,0.41300000000000014
31,1971-08-13,1.718,0.47499999999999987
32,1971-08-20,2.185,0.4670000000000001
33,1971-08-27,2.571,0.3860000000000001
34,1971-09-03,2.83,0.2589999999999999
35,1971-09-10,2.934,0.10400000000000009
36,1971-09-17,2.888,-0.04600000000000026
37,1971-09-24,2.712,-0.1759999999999997
38,1971-10-01,2.445,-0.26700000000000035
39,1971-10-08,2.133,-0.31199999999999983
40,1971-10-15,1.824,-0.30899999999999994
41,1971-10-22,1.562,-0.262
42,1971-10-29,1.378,-0.18400000000000016
43,1971-11-05,1.289,-0.08899999999999997
44,1971-11-12,1.292,0.0030000000000001137
45,1971-11-19,1.372,0.08000000000000007
46,1971-11-26,1.501,0.12899999999999978
