,Date,BAML_C0A0CM
0,1996-12-31,0.6
1,1997-01-02,0.6
2,1997-01-03,0.61
3,1997-01-06,0.61
4,1997-01-07,0.61
5,1997-01-08,0.6
6,1997-01-09,0.62
7,1997-01-10,0.73
8,1997-01-13,0.61
9,1997-01-14,0.61
10,1997-01-15,0.61
11,1997-01-16,0.6
12,1997-01-17,0.6
13,1997-01-20,0.6
14,1997-01-21,0.61
15,1997-01-22,0.6
16,1997-01-23,0.6
17,1997-01-24,0.6
18,1997-01-27,0.6
19,1997-01-28,0.6
20,1997-01-29,0.6
21,1997-01-30,0.6
22,1997-01-31,0.61
23,1997-02-03,0.61
24,1997-02-04,0.61
25,1997-02-05,0.6
26,1997-02-06,0.6
27,1997-02-07,0.61
28,1997-02-10,0.6
29,1997-02-11,0.6
30,1997-02-12,0.6
31,1997-02-13,0.6
32,1997-02-14,0.59
33,1997-02-18,0.59
34,1997-02-19,0.6
35,1997-02-20,0.59
36,1997-02-21,0.59
37,1997-02-24,0.59
38,1997-02-25,0.59
39,1997-02-26,0.59
40,1997-02-27,0.59
41,1997-02-28,0.59
42,1997-03-03,0.57
43,1997-03-04,0.56
44,1997-03-05,0.56
45,1997-03-06,0.56
46,1997-03-07,0.57
47,1997-03-10,0.56
48,1997-03-11,0.56
49,1997-03-12,0.57
50,1997-03-13,0.57
51,1997-03-14,0.57
52,1997-03-17,0.57
53,1997-03-18,0.57
54,1997-03-19,0.56
55,1997-03-20,0.57
56,1997-03-21,0.57
57,1997-03-24,0.56
58,1997-03-25,0.57
59,1997-03-26,0.56
60,1997-03-27,0.56
61,1997-03-31,0.57
62,1997-04-01,0.58
63,1997-04-02,0.58
64,1997-04-03,0.58
65,1997-04-04,0.58
66,1997-04-07,0.59
67,1997-04-08,0.59
68,1997-04-09,0.58
69,1997-04-10,0.58
70,1997-04-11,0.58
71,1997-04-14,0.58
72,1997-04-15,0.58
73,1997-04-16,0.58
74,1997-04-17,0.58
75,1997-04-18,0.58
76,1997-04-21,0.58
77,1997-04-22,0.6
78,1997-04-23,0.6
79,1997-04-24,0.59
80,1997-04-25,0.59
81,1997-04-28,0.6
82,1997-04-29,0.61
83,1997-04-30,0.59
84,1997-05-01,0.59
85,1997-05-02,0.59
86,1997-05-05,0.59
87,1997-05-06,0.59
88,1997-05-07,0.59
89,1997-05-08,0.59
90,1997-05-09,0.59
91,1997-05-12,0.59
92,1997-05-13,0.59
93,1997-05-14,0.57
94,1997-05-15,0.59
95,1997-05-16,0.58
96,1997-05-19,0.59
97,1997-05-20,0.59
98,1997-05-21,0.59
99,1997-05-22,0.58
100,1997-05-23,0.59
101,1997-05-27,0.59
102,1997-05-28,0.59
103,1997-05-29,0.59
104,1997-05-30,0.6
105,1997-05-31,0.61
106,1997-06-02,0.6
107,1997-06-03,0.59
108,1997-06-04,0.59
109,1997-06-05,0.59
110,1997-06-06,0.59
111,1997-06-09,0.58
112,1997-06-10,0.58
113,1997-06-11,0.58
114,1997-06-12,0.58
115,1997-06-13,0.57
116,1997-06-16,0.57
117,1997-06-17,0.57
118,1997-06-18,0.57
119,1997-06-19,0.57
120,1997-06-20,0.57
121,1997-06-23,0.57
122,1997-06-24,0.57
123,1997-06-25,0.57
124,1997-06-26,0.57
125,1997-06-27,0.57
126,1997-06-30,0.58
127,1997-07-01,0.58
128,1997-07-02,0.57
129,1997-07-03,0.58
130,1997-07-07,0.57
131,1997-07-08,0.57
132,1997-07-09,0.57
133,1997-07-10,0.57
134,1997-07-11,0.57
135,1997-07-14,0.56
136,1997-07-15,0.57
137,1997-07-16,0.57
138,1997-07-17,0.57
139,1997-07-18,0.56
140,1997-07-21,0.56
141,1997-07-22,0.57
142,1997-07-23,0.55
143,1997-07-24,0.56
144,1997-07-25,0.56
145,1997-07-28,0.56
146,1997-07-29,0.55
147,1997-07-30,0.55
148,1997-07-31,0.56
149,1997-08-01,0.56
150,1997-08-04,0.56
151,1997-08-05,0.56
152,1997-08-06,0.57
153,1997-08-07,0.55
154,1997-08-08,0.55
155,1997-08-11,0.56
156,1997-08-12,0.56
157,1997-08-13,0.57
158,1997-08-14,0.57
159,1997-08-15,0.57
160,1997-08-18,0.57
161,1997-08-19,0.57
162,1997-08-20,0.57
163,1997-08-21,0.57
164,1997-08-22,0.56
165,1997-08-25,0.57
166,1997-08-26,0.57
167,1997-08-27,0.57
168,1997-08-28,0.58
169,1997-08-29,0.57
170,1997-08-31,0.57
171,1997-09-02,0.58
172,1997-09-03,0.58
173,1997-09-04,0.57
174,1997-09-05,0.58
175,1997-09-08,0.58
176,1997-09-09,0.58
177,1997-09-10,0.58
178,1997-09-11,0.58
179,1997-09-12,0.59
180,1997-09-15,0.58
181,1997-09-16,0.58
182,1997-09-17,0.58
