,Date,BAML_C0A0CM,d_BAML_C0A0CM
0,1997-01-03,0.61,
1,1997-01-10,0.73,0.12
2,1997-01-17,0.6,-0.13
3,1997-01-24,0.6,0.0
4,1997-01-31,0.61,0.010000000000000009
5,1997-02-07,0.61,0.0
6,1997-02-14,0.59,-0.020000000000000018
7,1997-02-21,0.59,0.0
8,1997-02-28,0.59,0.0
9,1997-03-07,0.57,-0.020000000000000018
10,1997-03-14,0.57,0.0
11,1997-03-21,0.57,0.0
12,1997-03-28,0.56,-0.009999999999999898
13,1997-04-04,0.58,0.019999999999999907
14,1997-04-11,0.58,0.0
15,1997-04-18,0.58,0.0
16,1997-04-25,0.59,0.010000000000000009
17,1997-05-02,0.59,0.0
18,1997-05-09,0.59,0.0
19,1997-05-16,0.58,-0.010000000000000009
20,1997-05-23,0.59,0.010000000000000009
21,1997-05-30,0.6,0.010000000000000009
22,1997-06-06,0.59,-0.010000000000000009
23,1997-06-13,0.57,-0.020000000000000018
24,1997-06-20,0.57,0.0
25,1997-06-27,0.57,0.0
26,1997-07-04,0.58,0.010000000000000009
27,1997-07-11,0.57,-0.010000000000000009
28,1997-07-18,0.56,-0.009999999999999898
29,1997-07-25,0.56,0.0
30,1997-08-01,0.56,0.0
31,1997-08-08,0.55,-0.010000000000000009
32,1997-08-15,0.57,0.019999999999999907
33,1997-08-22,0.56,-0.009999999999999898
34,1997-08-29,0.57,0.009999999999999898
35,1997-09-05,0.58,0.010000000000000009
36,1997-09-12,0.59,0.010000000000000009
37,1997-09-19,0.57,-0.020000000000000018
38,1997-09-26,0.57,0.0
39,1997-10-03,0.53,-0.039999999999999925
40,1997-10-10,0.64,0.10999999999999999
41,1997-10-17,0.55,-0.08999999999999997
42,1997-10-24,0.57,0.019999999999999907
43,1997-10-31,0.67,0.10000000000000009
44,1997-11-07,0.69,0.019999999999999907
45,1997-11-14,0.7,0.010000000000000009
46,1997-11-21,0.7,0.0
47,1997-11-28,0.72,0.020000000000000018
48,1997-12-05,0.72,0.0
49,1997-12-12,0.73,0.010000000000000009
50,1997-12-19,0.73,0.0
51,1997-12-26,0.76,0.030000000000000027
52,1998-01-02,0.71,-0.050000000000000044
53,1998-01-09,0.72,0.010000000000000009
54,1998-01-16,0.73,0.010000000000000009
55,1998-01-23,0.73,0.0
56,1998-01-30,0.77,0.040000000000000036
57,1998-02-06,0.78,0.010000000000000009
58,1998-02-13,0.77,-0.010000000000000009
59,1998-02-20,0.76,-0.010000000000000009
60,1998-02-27,0.75,-0.010000000000000009
61,1998-03-06,0.74,-0.010000000000000009
62,1998-03-13,0.73,-0.010000000000000009
63,1998-03-20,0.73,0.0
64,1998-03-27,0.73,0.0
65,1998-04-03,0.74,0.010000000000000009
66,1998-04-10,0.73,-0.010000000000000009
67,1998-04-17,0.72,-0.010000000000000009
68,1998-04-24,0.72,0.0
69,1998-05-01,0.71,-0.010000000000000009
70,1998-05-08,0.72,0.010000000000000009
71,1998-05-15,0.7,-0.020000000000000018
72,1998-05-22,0.71,0.010000000000000009
73,1998-05-29,0.7,-0.010000000000000009
74,1998-06-05,0.72,0.020000000000000018
75,1998-06-12,0.73,0.010000000000000009
76,1998-06-19,0.73,0.0
77,1998-06-26,0.73,0.0
78,1998-07-03,0.77,0.040000000000000036
79,1998-07-10,0.79,0.020000000000000018
80,1998-07-17,0.8,0.010000000000000009
81,1998-07-24,0.86,0.05999999999999994
82,1998-07-31,0.82,-0.040000000000000036
83,1998-08-07,0.81,-0.009999999999999898
84,1998-08-14,0.83,0.019999999999999907
85,1998-08-21,0.86,0.030000000000000027
86,1998-08-28,1.0,0.14
87,1998-09-04,1.26,0.26
88,1998-09-11,1.26,0.0
89,1998-09-18,1.25,-0.010000000000000009
90,1998-09-25,1.27,0.020000000000000018
91,1998-10-02,1.35,0.08000000000000007
92,1998-10-09,1.36,0.010000000000000009
93,1998-10-16,1.4,0.039999999999999813
94,1998-10-23,1.37,-0.029999999999999805
95,1998-10-30,1.46,0.08999999999999986
96,1998-11-06,1.43,-0.030000000000000027
97,1998-11-13,1.42,-0.010000000000000009
98,1998-11-20,1.39,-0.030000000000000027
99,1998-11-27,1.32,-0.06999999999999984
100,1998-12-04,1.23,-0.09000000000000008
101,1998-12-11,1.22,-0.010000000000000009
102,1998-12-18,1.23,0.010000000000000009
103,1998-12-25,1.25,0.020000000000000018
104,1999-01-01,1.19,-0.06000000000000005
105,1999-01-08,1.16,-0.030000000000000027
106,1999-01-15,1.17,0.010000000000000009
107,1999-01-22,1.18,0.010000000000000009
108,1999-01-29,1.15,-0.030000000000000027
109,1999-02-05,1.14,-0.010000000000000009
110,1999-02-12,1.14,0.0
111,1999-02-19,1.1,-0.039999999999999813
112,1999-02-26,1.08,-0.020000000000000018
113,1999-03-05,1.07,-0.010000000000000009
114,1999-03-12,1.06,-0.010000000000000009
115,1999-03-19,1.02,-0.040000000000000036
116,1999-03-26,1.02,0.0
117,1999-04-02,1.03,0.010000000000000009
118,1999-04-09,1.05,0.020000000000000018
119,1999-04-16,1.03,-0.020000000000000018
120,1999-04-23,1.03,0.0
121,1999-04-30,1.07,0.040000000000000036
122,1999-05-07,1.03,-0.040000000000000036
123,1999-05-14,1.02,-0.010000000000000009
124,1999-05-21,1.04,0.020000000000000018
125,1999-05-28,1.08,0.040000000000000036
