,expected_return
AGG,0.0001273187500724702
BND,0.00012537858697934953
VCIT,0.00017460539922208617
BNDX,9.462297061333647e-05
VCSH,0.00011560381990867256
BSV,0.00010043678644726254
LQD,0.00019496495396342407
TIP,0.0001459025112741836
MBB,0.00010983667139046548
MUB,0.00012695752795586056
IGSB,0.00011500239485099455
SCHP,0.00011672384355049066
HYG,0.0002151582129191854
EMB,0.00020355610711045072
SHY,7.888354723670976e-05
JPST,0.00011667769805669687
VTIP,8.897683661406688e-05
IUSB,9.117365522382434e-05
GOVT,5.4211179326675145e-05
IEF,0.000151366809617124
TLT,0.0001866651253077326
VMBS,8.852586153307217e-05
BIV,0.00015602548971680737
VTEB,9.83022478752463e-05
MINT,8.073074520682854e-05
VGSH,5.594413041514667e-05
SHV,6.154321050841275e-05
BIL,5.284268539004697e-05
IGIB,0.00015798698290932122
IEI,0.00011738804397349467
JNK,0.0002185351481695869
VGIT,9.145775964433779e-05
SCHZ,8.84435586878476e-05
SCHO,5.3582963286837534e-05
USHY,0.0001984644088866882
SRLN,0.0001515600721742078
SPSB,9.416107967656612e-05
STIP,9.411846038342464e-05
CWB,0.0004606166668998188
BKLN,0.00015089468530429066
FLOT,9.105041755371185e-05
HYLB,0.00019654984899859833
LMBS,0.00011840970091850638
USIG,0.0001656214572634578
SPAB,0.00012960227430033717
SUB,6.356490393622618e-05
ISTB,8.022195620980046e-05
BLV,0.00018949617128043853
SPIB,0.00015494771121357518
ICSH,9.013049536280894e-05
SHYG,0.0001748720291844843
VCLT,0.00020502827559233956
ANGL,0.0002817200203723277
FIXD,7.467744152584294e-05
SHM,7.559985861490441e-05
FALN,0.0002669373865958162
NEAR,9.648788555903627e-05
SJNK,0.00019087348731883151
SPTL,0.00016729060988678537
FTSM,8.720462081043985e-05
BOND,0.00012240361820840018
TFI,0.0001237921826345902
SPMB,0.00010252936443192675
SCHR,8.050907044872712e-05
IAGG,9.860883319859786e-05
HYD,0.00023422018572560847
IVOL,-2.257840613482245e-06
EMLC,6.613581127197853e-05
SPTS,5.9105521634284776e-05
SPIP,0.0001467285042887916
TOTL,7.395557475010171e-05
SPTI,0.00010415894929044646
VWOB,0.00015075662334471338
GSY,8.07595448576248e-05
FTSL,0.00015824657564014535
VNLA,0.00012044023156180449
PCY,0.00023052648483418774
IGLB,0.00019332114263471728
VGLT,0.00014626243382930568
PZA,0.00013635717977877407
SLQD,9.979387905549475e-05
GVI,0.00011700077152036361
BAB,0.00019930248705132047
FLRN,0.00010051520967668531
FMB,0.00011786385688410297
HYLS,0.00017596254412568642
JMST,8.421381194743199e-05
FBND,0.00010657019537433913
PULS,0.00013091033485712042
CMF,0.00014297733939872307
ITM,0.0001402297669821318
VUSB,0.00013015509618981316
HYMB,0.00018992258967863974
ICVT,0.00045547473930526147
HYS,0.00020182639632817352
GBIL,8.926829707084964e-05
USFR,7.453482330240747e-05
FLCB,4.339549190745868e-05
EAGG,9.006926065699746e-05
TBT,-0.00024558131838712713
TLH,0.00013735381836141083
TDTT,8.786501694254723e-05
PTBD,4.176729830041799e-05
HYEM,0.00019236219102901673
EBND,5.7308032581262145e-05
EDV,0.0001996805940136636
STPZ,9.723888303405856e-05
LDUR,9.828750007104256e-05
DIAL,0.00010735236802253126
QLTA,0.00010759811428770213
IGOV,2.432512799292126e-05
UITB,9.42687877525119e-05
AGGY,8.64434214374071e-05
SUSB,0.00011181456817248051
IGHG,0.00015161721805607742
HTRB,8.406146515830291e-05
TIPX,9.38468155857689e-05
FLCO,9.296563992580908e-05
GTO,0.00012737135800995123
PHB,0.00016748694274941383
SPLB,0.00023504269256103394
BWX,3.818221024622435e-05
LTPZ,0.0001593313503394035
HYDW,0.00016928298155323968
SUSC,0.00010473835511664225
IBDR,0.00011679697181784214
JMBS,9.772092052269708e-05
CORP,0.00014566816808013897
IGBH,0.0001944641257420086
CMBS,9.898429665621103e-05
SGOV,0.00011510984775800481
GIGB,0.00011048214279612199
AGZ,9.628921624335407e-05
UCON,0.0001520018364610376
FLTR,0.00010253253020459662
TDTF,9.339277246339576e-05
LQDH,0.00014076916818409527
VTC,0.00010764953550698852
TBF,-8.75708113448258e-05
MUNI,0.00010854757697108039
SCHJ,0.00010960296899859801
BSCQ,0.00011775817205111975
HYGV,0.00021431402422663126
BNDW,7.722844620445037e-05
PWZ,0.00013535249645520517
SPHY,0.00020426929024346024
EUSB,1.3703353793670136e-05
NYF,0.00012999158543539413
SMMU,6.0983738839097205e-05
IBDS,0.0001281731779834079
LEMB,4.33045643991241e-05
CEMB,0.00015305439830532442
IG,0.00011146098564449501
MMIN,0.00011039589276503336
GNMA,6.080207311375458e-05
EMHY,0.00020679148564965437
VRIG,0.00013691812228528198
ULST,8.68494120668242e-05
FTSD,6.881030607795195e-05
WIP,7.005134233387087e-05
GBF,0.00012477174035815543
SHYD,0.00010258426538589018
VBND,6.911277676444344e-05
GOVZ,-0.000480703572656909
FLGV,-2.0798998675927094e-05
SPBO,0.00014487987285823574
ZROZ,0.0001927622654286869
BSCR,0.0001302128118886686
TMF,0.00016680333870720473
NUAG,7.503628849656938e-05
RAVI,8.359011288980759e-05
ILTB,0.00017979914508868254
FMHI,0.00012868038693117687
SCHI,0.00010108307057859765
TMV,-0.00024016118423830302
SMB,8.420997341608554e-05
GSST,0.00012738266246803073
SKOR,0.00012348260575615052
JPIB,0.00014573515334387408
IBDT,0.00016103407341589007
FDHY,0.00023774385006104765
