,Date,T5YIE
0,2003-01-02,1.3
1,2003-01-03,1.28
2,2003-01-06,1.31
3,2003-01-07,1.28
4,2003-01-08,1.33
5,2003-01-09,1.41
6,2003-01-10,1.4
7,2003-01-13,1.4
8,2003-01-14,1.38
9,2003-01-15,1.41
10,2003-01-16,1.4
11,2003-01-17,1.45
12,2003-01-21,1.38
13,2003-01-22,1.34
14,2003-01-23,1.42
15,2003-01-24,1.46
16,2003-01-27,1.47
17,2003-01-28,1.47
18,2003-01-29,1.52
19,2003-01-30,1.46
20,2003-01-31,1.49
21,2003-02-03,1.52
22,2003-02-04,1.54
23,2003-02-05,1.61
24,2003-02-06,1.62
25,2003-02-07,1.6
26,2003-02-10,1.66
27,2003-02-11,1.62
28,2003-02-12,1.6
29,2003-02-13,1.56
30,2003-02-14,1.62
31,2003-02-18,1.63
32,2003-02-19,1.62
33,2003-02-20,1.69
34,2003-02-21,1.73
35,2003-02-24,1.78
36,2003-02-25,1.77
37,2003-02-26,1.74
38,2003-02-27,1.77
39,2003-02-28,1.75
40,2003-03-03,1.73
41,2003-03-04,1.72
42,2003-03-05,1.68
43,2003-03-06,1.73
44,2003-03-07,1.74
45,2003-03-10,1.72
46,2003-03-11,1.76
47,2003-03-12,1.79
48,2003-03-13,1.87
49,2003-03-14,1.57
50,2003-03-17,1.67
51,2003-03-18,1.63
52,2003-03-19,1.59
53,2003-03-20,1.67
54,2003-03-21,1.7
55,2003-03-24,1.66
56,2003-03-25,1.64
57,2003-03-26,1.65
58,2003-03-27,1.71
59,2003-03-28,1.72
60,2003-03-31,1.65
61,2003-04-01,1.64
62,2003-04-02,1.66
63,2003-04-03,1.64
64,2003-04-04,1.63
65,2003-04-07,1.61
66,2003-04-08,1.57
67,2003-04-09,1.55
68,2003-04-10,1.64
69,2003-04-11,1.62
70,2003-04-14,1.66
71,2003-04-15,1.62
72,2003-04-16,1.58
73,2003-04-17,1.58
74,2003-04-21,1.57
75,2003-04-22,1.51
76,2003-04-23,1.54
77,2003-04-24,1.46
78,2003-04-25,1.46
79,2003-04-28,1.48
80,2003-04-29,1.47
81,2003-04-30,1.45
82,2003-05-01,1.3
83,2003-05-02,1.34
84,2003-05-05,1.5
85,2003-05-06,1.42
86,2003-05-07,1.38
87,2003-05-08,1.34
88,2003-05-09,1.4
89,2003-05-12,1.37
90,2003-05-13,1.39
91,2003-05-14,1.32
92,2003-05-15,1.39
93,2003-05-16,1.31
94,2003-05-19,1.34
95,2003-05-20,1.35
96,2003-05-21,1.34
97,2003-05-22,1.3
98,2003-05-23,1.31
99,2003-05-27,1.25
100,2003-05-28,1.23
101,2003-05-29,1.23
102,2003-05-30,1.26
103,2003-06-02,1.29
104,2003-06-03,1.25
105,2003-06-04,1.25
106,2003-06-05,1.31
107,2003-06-06,1.33
108,2003-06-09,1.32
109,2003-06-10,1.31
110,2003-06-11,1.36
111,2003-06-12,1.32
112,2003-06-13,1.37
113,2003-06-16,1.35
114,2003-06-17,1.35
115,2003-06-18,1.36
116,2003-06-19,1.39
117,2003-06-20,1.39
118,2003-06-23,1.36
119,2003-06-24,1.37
120,2003-06-25,1.45
121,2003-06-26,1.47
122,2003-06-27,1.48
123,2003-06-30,1.45
124,2003-07-01,1.45
125,2003-07-02,1.43
126,2003-07-03,1.44
127,2003-07-07,1.44
128,2003-07-08,1.41
129,2003-07-09,1.46
130,2003-07-10,1.45
131,2003-07-11,1.42
132,2003-07-14,1.47
133,2003-07-15,1.53
134,2003-07-16,1.56
135,2003-07-17,1.57
136,2003-07-18,1.65
137,2003-07-21,1.63
138,2003-07-22,1.59
139,2003-07-23,1.67
140,2003-07-24,1.67
141,2003-07-25,1.76
142,2003-07-28,1.72
143,2003-07-29,1.7
144,2003-07-30,1.73
145,2003-07-31,1.75
146,2003-08-01,1.75
147,2003-08-04,1.72
148,2003-08-05,1.75
149,2003-08-06,1.72
150,2003-08-07,1.78
151,2003-08-08,1.74
152,2003-08-11,1.82
153,2003-08-12,1.81
154,2003-08-13,1.88
155,2003-08-14,1.89
156,2003-08-15,1.92
157,2003-08-18,1.88
158,2003-08-19,1.87
159,2003-08-20,1.94
160,2003-08-21,2.06
161,2003-08-22,2.05
162,2003-08-25,2.03
163,2003-08-26,2.03
164,2003-08-27,2.01
165,2003-08-28,1.98
166,2003-08-29,1.99
167,2003-09-02,2.0
168,2003-09-03,2.03
169,2003-09-04,2.01
170,2003-09-05,1.97
171,2003-09-08,1.94
172,2003-09-09,1.94
173,2003-09-10,1.9
174,2003-09-11,1.92
175,2003-09-12,1.88
176,2003-09-15,1.87
177,2003-09-16,1.8
178,2003-09-17,1.77
179,2003-09-18,1.79
180,2003-09-19,1.81
181,2003-09-22,1.84
182,2003-09-23,1.84
183,2003-09-24,1.86
184,2003-09-25,1.91
185,2003-09-26,1.91
186,2003-09-29,1.91
187,2003-09-30,1.86
188,2003-10-01,1.84
189,2003-10-02,1.83
190,2003-10-03,1.89
191,2003-10-06,1.87
192,2003-10-07,1.91
193,2003-10-08,1.89
194,2003-10-09,1.92
195,2003-10-10,1.97
196,2003-10-14,2.0
197,2003-10-15,2.02
198,2003-10-16,2.08
199,2003-10-17,2.07
200,2003-10-20,2.06
