,Date,DTB3
0,1954-01-04,1.33
1,1954-01-05,1.28
2,1954-01-06,1.28
3,1954-01-07,1.31
4,1954-01-08,1.31
5,1954-01-11,1.33
6,1954-01-12,1.3
7,1954-01-13,1.3
8,1954-01-14,1.28
9,1954-01-15,1.2
10,1954-01-18,1.2
11,1954-01-20,1.16
12,1954-01-21,1.08
13,1954-01-22,1.0
14,1954-01-25,1.0
15,1954-01-26,1.0
16,1954-01-27,1.08
17,1954-01-28,0.96
18,1954-01-29,1.02
19,1954-02-01,1.04
20,1954-02-02,1.0
21,1954-02-03,1.02
22,1954-02-04,1.01
23,1954-02-05,0.9
24,1954-02-08,0.89
25,1954-02-09,0.88
26,1954-02-10,0.93
27,1954-02-11,0.94
28,1954-02-15,0.98
29,1954-02-16,0.98
30,1954-02-17,1.02
31,1954-02-18,0.97
32,1954-02-19,0.96
33,1954-02-23,0.95
34,1954-02-24,0.97
35,1954-02-25,1.0
36,1954-02-26,1.0
37,1954-03-01,1.03
38,1954-03-02,1.03
39,1954-03-03,1.05
40,1954-03-04,1.03
41,1954-03-05,1.02
42,1954-03-08,1.03
43,1954-03-09,1.03
44,1954-03-10,1.06
45,1954-03-11,1.05
46,1954-03-12,1.04
47,1954-03-15,1.04
48,1954-03-16,1.02
49,1954-03-17,1.01
50,1954-03-18,1.01
51,1954-03-19,1.0
52,1954-03-22,1.0
53,1954-03-23,1.0
54,1954-03-24,1.05
55,1954-03-25,1.07
56,1954-03-26,1.05
57,1954-03-29,1.05
58,1954-03-30,1.04
59,1954-03-31,1.03
60,1954-04-01,1.02
61,1954-04-02,1.0
62,1954-04-05,0.98
63,1954-04-06,0.97
64,1954-04-07,1.0
65,1954-04-08,1.0
66,1954-04-09,1.03
67,1954-04-12,1.04
68,1954-04-13,1.06
69,1954-04-14,1.04
70,1954-04-15,1.03
71,1954-04-16,1.03
72,1954-04-19,1.02
73,1954-04-20,1.0
74,1954-04-21,1.0
75,1954-04-22,0.98
76,1954-04-23,0.94
77,1954-04-26,0.85
78,1954-04-27,0.83
79,1954-04-28,0.82
80,1954-04-29,0.81
81,1954-04-30,0.81
82,1954-05-03,0.77
83,1954-05-04,0.72
84,1954-05-05,0.72
85,1954-05-06,0.75
86,1954-05-07,0.79
