,volatility
AGG,0.0032652019823546726
BND,0.0032863349846853607
VCIT,0.0036221417994625298
BNDX,0.002437647387725886
VCSH,0.001806156635343372
BSV,0.0018734826730288337
LQD,0.005269750050079654
TIP,0.003884320211786271
MBB,0.0028881079019820815
MUB,0.003385520070580081
IGSB,0.002560718920164898
SCHP,0.0035227645117952696
HYG,0.00689392112758466
EMB,0.006802373474875041
SHY,0.0009586554046963332
JPST,0.0005922700694071389
VTIP,0.0016021774112490188
IUSB,0.003061683702560328
GOVT,0.003029158559244476
IEF,0.004295040529510343
TLT,0.00903147983732414
VMBS,0.003122104966633864
BIV,0.0037432634634142047
VTEB,0.0032331794679753725
MINT,0.0005334563886468756
VGSH,0.0008735794530562217
SHV,0.00022135676126067188
BIL,0.00030949748293569105
IGIB,0.00349777924782649
IEI,0.002591692049113949
JNK,0.007244176491777518
VGIT,0.0027708186640829505
SCHZ,0.0030109735653465726
SCHO,0.0008505726659982398
USHY,0.005233363209424885
SRLN,0.0034355734580455385
SPSB,0.0016614088202068008
STIP,0.0014270146461989345
CWB,0.008225965168727872
BKLN,0.003668194590865812
FLOT,0.0022010482057099236
HYLB,0.005190049488898906
LMBS,0.0016794554363640777
USIG,0.004646915312828779
SPAB,0.0038921431458378074
SUB,0.0023878083623339323
ISTB,0.0015245105104722643
BLV,0.007279320816929243
SPIB,0.002775840670510944
ICSH,0.0007575448253474036
SHYG,0.0038362219391195993
VCLT,0.007368783114915505
ANGL,0.0058595758715542234
FIXD,0.0036737600949223116
SHM,0.002394395281539953
FALN,0.005668141074243891
NEAR,0.0014176267706438833
SJNK,0.0037198789566318933
SPTL,0.008626143460635923
FTSM,0.0013759925130120774
BOND,0.0029739998661554804
TFI,0.003774619732094622
SPMB,0.004339035810353157
SCHR,0.002741175741783731
IAGG,0.0025390998360766566
HYD,0.006970157295580241
IVOL,0.007617979272673095
EMLC,0.006385783988733455
SPTS,0.0018652369060100764
SPIP,0.004257986948256079
TOTL,0.002885262660012138
SPTI,0.002901910185340175
VWOB,0.005458117297342705
GSY,0.002681354101058061
FTSL,0.002987967728334243
VNLA,0.0008682288319079969
PCY,0.010113997728665456
IGLB,0.007232970153256685
VGLT,0.008483948739121241
PZA,0.0047478016239132685
SLQD,0.0018858732010000004
GVI,0.002382074836169662
BAB,0.005798063171218351
FLRN,0.003143149953446139
FMB,0.0028247470390424575
HYLS,0.00409836600199227
JMST,0.0007219922493331825
FBND,0.0036742905209304552
PULS,0.0008434046797549034
CMF,0.005305989878655466
ITM,0.004540030030066043
VUSB,0.0005207458548502492
HYMB,0.006223922893640076
ICVT,0.009711969127286108
HYS,0.003926675025876773
GBIL,0.00029762594604526896
USFR,0.0009261422139322347
FLCB,0.00348708728489222
EAGG,0.003482027663439488
TBT,0.018909596196775357
TLH,0.006636253117652893
TDTT,0.002018874069712504
PTBD,0.004959066459119382
HYEM,0.005561235574415012
EBND,0.005889652347342797
EDV,0.014113946440952244
STPZ,0.001718891818879526
LDUR,0.00205243518761176
DIAL,0.004450860932697184
QLTA,0.004011729635788734
IGOV,0.005497102514006995
UITB,0.003146533743707597
AGGY,0.0033858779748447794
SUSB,0.002360204833612824
IGHG,0.004456430195893559
HTRB,0.0035237199254046832
TIPX,0.0029113948467149094
FLCO,0.004326066741144867
GTO,0.0037747267858749575
PHB,0.0060277996623244855
SPLB,0.007572345071474876
BWX,0.0056313198019447225
LTPZ,0.008964923681543478
HYDW,0.004422604602378599
SUSC,0.004833763076854241
IBDR,0.0030844704535049183
JMBS,0.003488776693353486
CORP,0.004036299236646826
IGBH,0.005843081684203718
CMBS,0.0034664265707245057
SGOV,0.0001497279060492085
GIGB,0.004857924456101891
AGZ,0.0021962532466532933
UCON,0.00372985729589762
FLTR,0.0030520335780737187
TDTF,0.0030334970171640137
LQDH,0.003938621988831046
VTC,0.004868325236921777
TBF,0.009256657442111188
MUNI,0.002232776382777413
SCHJ,0.002627327162800729
BSCQ,0.0030271805437313646
HYGV,0.0058504132526227565
BNDW,0.0030979447639465714
PWZ,0.004486154189891566
SPHY,0.0049427249439258705
EUSB,0.0034371849314398712
NYF,0.004207859286936156
SMMU,0.0015982364031621053
IBDS,0.0035251436934135485
LEMB,0.005880472615243581
CEMB,0.0046293640770561735
IG,0.004648191150752833
MMIN,0.0044199205005122436
GNMA,0.0035053663468163966
EMHY,0.006282911052999453
VRIG,0.0024119418911330392
ULST,0.0009348167645024554
FTSD,0.0010803379227058733
WIP,0.0065269802683424775
GBF,0.0033048752614908464
SHYD,0.005664306938372023
VBND,0.003344648325356233
GOVZ,0.014846091504333773
FLGV,0.0032648844943444525
SPBO,0.004615565327133656
ZROZ,0.014674515428772022
BSCR,0.003398550399726535
TMF,0.028395566979934946
NUAG,0.003469899437754891
RAVI,0.0007736194541202772
ILTB,0.0071301875586446085
FMHI,0.003627925147621389
SCHI,0.004696416421497109
TMV,0.028548979617237253
SMB,0.003055976842638567
GSST,0.0005484528258180711
SKOR,0.0030777748162232675
JPIB,0.0027699940348200943
IBDT,0.004051604811663537
FDHY,0.005103540497114805
MEAR,0.0009594067816852314
FLTB,0.0018408787599640294
FCOR,0.0043274964317110785
FCVT,0.009443017279838513
DEED,0.0037957000491091113
USTB,0.0012706287098284538
FEMB,0.007070538452715427
NUBD,0.003235313079701177
HCRB,0.003776920726031436
JAAA,0.0010563910279902614
VCEB,0.0042249020026887555
TFLO,0.001255975587680669
BGRN,0.003165486135583955
MLN,0.0057555696758749796
MMIT,0.002664422206122473
GCOR,0.0035065388820831995
IBD,0.004250716446544601
PGHY,0.004386001733425362
FLDR,0.003343771557954184
BSCS,0.0039686053784121385
AGZD,0.0024361085530119667
TIPZ,0.0036886045645516193
HMOP,0.0027006757610109323
FLIA,0.0029429173176894943
XMPT,0.006284175975390538
BWZ,0.0048569129362088905
LDSF,0.0020181336587495324
TTT,0.02669154875119876
GHYB,0.005266105149596187
BKAG,0.0035171809874414393
GHYG,0.005268584768184631
STOT,0.001390090851642362
HYZD,0.005538507246246643
TAXF,0.002948165083240977
EMHC,0.005690048760211878
OPER,0.0008360459068411023
FUMB,0.001120892332064525
EMNT,0.0005478412840758441
FSMB,0.001854589225310073
JCPB,0.0032135398954989155
HYDB,0.004926448639681982
SHAG,0.001616799702900097
FLHY,0.005163856426335885
IGEB,0.004127575528710382
IBND,0.005861582953665334
GTIP,0.003819320741961525
JSCP,0.001616465062312963
RVNU,0.004765228274578815
KORP,0.003101120945200134
BYLD,0.0032881720118505247
